,PCK01K,PCL01K,PCT01K,PG01K,PG02K,PG03K,PL01K,PP01K,PS01K,PT01K,PVB01K,PCK02K,PCL02K,PG04K,PG05K,PG06K,PG07K,PL02K,PP02K,PS02K,PT02K,PVB02K
is_id,IS01A,IS01A,IS01A,IS01A,IS01A,IS01A,IS01A,IS01A,IS01A,IS01A,IS01A,IS02A,IS02A,IS02A,IS02A,IS02A,IS02A,IS02A,IS02A,IS02A,IS02A,IS02A
project_id,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01,ECOCIAF01
drawing_revision,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
largura_painel_mm,910,1628,910,606,1062,825,825,913,1062,2885,2728,1214,849,697,1214,606,100,606,960,796,1647,1490
altura_painel_mm,2173,2173,2173,2173,2173,2173,2173,150,2173,1628,1495,2224,2224,2224,2224,2224,2074,2224,152,2224,1967,1804
profundidade_painel_mm,2171,72,48,48,48,48,2171,148,48,48,3111,70,72,2222,2222,2222,2070,2222,150,2222,48,2344
largura_perfil_mm,48,70,48,48,48,48,46,46,48,46,48,70,70,46,46,46,46,70,46,70,46,48
espessura_perfil_mm,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
num_montantes,4,4,3,2,3,3,4,3,4,7,12,4,3,3,4,3,2,4,3,4,5,4
num_raias,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2
comprimento_montante_mm,2171,2171,2171,2171,2171,2171,2171,148,2171,1626,2171,2222,2222,2222,2222,2222,2070,2222,150,2222,1965,1804
comprimento_raia_mm,910,1628,910,606,1062,825,825,901,1062,2885,2728,1214,849,697,1214,606,100,606,948,796,1647,1490
num_furos_raia,2,0,0,2,0,0,4,0,6,0,0,3,0,0,0,0,0,3,0,4,0,0
num_placas_por_face,1,2,1,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,2,1
perimetro_placa_total_mm,6351,12240,6351,5739,6656,6181,6181,2087,6655,15544,17464,6936,6226,10454,6936,5744,4424,5736,2184,6121,11138,6588
perimetro_placa_maior_mm,6351,6896,6351,5739,6656,6181,6181,2087,6655,5648,6326,6936,6226,5336,6936,5744,4424,5736,2184,6121,6326,6588
espessura_placa_mm,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
placagem_dupla,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
tem_entalhes,False,True,True,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,True,False,False
codigo_painel,PCK,PCL,PCT,PG,PG,PG,PL,PP,PS,PT,PVB,PCK,PCL,PG,PG,PG,PG,PL,PP,PS,PT,PVB
e_tecto,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
e_pavimento,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
e_porta,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
e_zona_humida,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
