,PG02K
is_id,IS01A
project_id,PICUALT9
drawing_revision,A
largura_painel_mm,1208
altura_painel_mm,2224
profundidade_painel_mm,46
largura_perfil_mm,46
espessura_perfil_mm,0.9
num_montantes,4
num_raias,2
comprimento_montante_mm,2222
comprimento_raia_mm,1208
num_furos_raia,0
num_placas_por_face,2
perimetro_placa_total_mm,13962
perimetro_placa_maior_mm,6981
espessura_placa_mm,12.5
placagem_dupla,True
tem_entalhes,False
codigo_painel,PG
e_tecto,False
e_pavimento,False
e_porta,False
e_zona_humida,False
