panel_id,micro_op_num,observation_id,source,duration_sec,median_da_tarefa
PCL01K,2,PICUA_BEA_PCL01K_obs1,picua_beatriz,62,22.0
PCL01K,2,PICUA_BEA_PCL01K_obs2,picua_beatriz,86,22.0
PCL01K,3,PICUA_BEA_PCL01K_obs1,picua_beatriz,58,17.0
PCL01K,3,PICUA_BEA_PCL01K_obs2,picua_beatriz,54,17.0
PCL01K,4,PICUA_BEA_PCL01K_obs2,picua_beatriz,31,9.0
PCL01K,6,PICUA_BEA_PCL01K_obs1,picua_beatriz,59,22.0
PCL01K,6,PICUA_INES_PCL01K_0104_1,picua_ines,26,22.0
PCL01K,7,PICUA_BEA_PCL01K_obs1,picua_beatriz,87,45.0
PCL01K,7,PICUA_BEA_PCL01K_obs2,picua_beatriz,156,45.0
PCL01K,8,PICUA_BEA_PCL01K_obs2,picua_beatriz,141,100.0
PCL01K,8,PICUA_INES_PCL01K_0904_1,picua_ines,63,100.0
PCL01K,12,PICUA_BEA_PCL01K_obs1,picua_beatriz,43,12.0
PCL01K,12,PICUA_BEA_PCL01K_obs2,picua_beatriz,72,12.0
PCL01K,14,PICUA_INES_PCL01K_0104_1,picua_ines,14,8.0
PCT01K,9,ECOCIAF_Ines_PCT01W_obs2,ecociaf_ines,10,12.0
PCT01K,12,PICUA_BEA_PCT01K_obs1,picua_beatriz,24,15.0
PG02K,5,PICUA_BEA_PG02K_obs1,picua_beatriz,27,34.0
PG02K,5,PICUA_INES_PG02K_1504_1,picua_ines,40,34.0
PG02K,10,PICUA_BEA_PG02K_obs1,picua_beatriz,28,11.5
PG02K,12,PICUA_BEA_PG02K_obs2,picua_beatriz,563,17.0
PG02K,13,PICUA_BEA_PG02K_obs1,picua_beatriz,145,14.5
PG02K,13,PICUA_BEA_PG02K_obs2,picua_beatriz,37,14.5
PG03K,3,PICUA_INES_PG03K_0904_3,picua_ines,20,14.0
PG03K,5,PICUA_INES_PG03K_0904_3,picua_ines,32,40.0
PG03K,6,PICUA_INES_PG03K_0904_1,picua_ines,60,31.0
PG03K,8,PICUA_INES_PG03K_0904_1,picua_ines,69,115.0
PG03K,11,PICUA_INES_PG03K_0904_3,picua_ines,33,32.0
PG03K,13,PICUA_INES_PG03K_0904_2,picua_ines,10,15.0
PG03K,14,PICUA_INES_PG03K_0904_1,picua_ines,10,7.0
