,PCK02K,PCL01K,PCL02K,PCT01K,PG02K,PG03K,PG04K,PL01K,PS01K,ECO_PCT01K
altura_painel_mm,2224,2224,2224,2224,2224,2224,2224,2224,2224,2173
codigo_painel,PCK,PCL,PCL,PCT,PG,PG,PG,PL,PS,PCT
comprimento_montante_mm,2222,2222,2222,2222,2222,2222,2222,2222,2222,2171
comprimento_raia_mm,872,608,1208,1072,1208,608,608,1200,772,910
e_pavimento,False,False,False,False,False,False,False,False,False,False
e_porta,False,False,False,False,False,False,False,False,False,False
e_tecto,False,False,False,False,False,False,False,False,False,False
e_zona_humida,True,True,True,True,False,False,False,False,False,True
espessura_perfil_mm,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
espessura_placa_mm,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
largura_painel_mm,872,608,1208,1072,1208,608,608,1200,772,910
largura_perfil_mm,70,46,46,46,46,46,46,70,70,48
micro_op_10_dur_sec,20.0,5.4,17.0,8.5,14.5,5.0,7.0,46.0,7.0,17.5
micro_op_11_dur_sec,24.0,27.4,30.5,24.5,31.25,32.333333333333336,25.0,34.0,27.5,44.5
micro_op_12_dur_sec,28.0,29.0,14.5,19.5,158.5,9.333333333333334,18.0,35.0,13.5,13.0
micro_op_13_dur_sec,22.0,15.4,35.5,12.0,52.75,13.666666666666666,17.0,48.0,16.5,14.0
micro_op_14_dur_sec,,9.666666666666666,,,7.5,8.0,,,,4.5
micro_op_1_dur_sec,52.0,16.6,21.5,15.5,21.75,15.0,18.0,47.0,12.0,25.0
micro_op_2_dur_sec,72.0,40.4,37.0,77.0,36.75,29.0,30.0,39.0,32.5,48.5
micro_op_3_dur_sec,32.0,29.8,28.5,17.0,42.75,15.666666666666666,34.0,70.0,34.5,30.0
micro_op_4_dur_sec,15.0,14.0,12.5,20.0,16.75,14.333333333333334,7.0,22.0,41.5,32.0
micro_op_5_dur_sec,35.0,25.4,32.0,31.5,34.0,38.0,57.0,25.0,34.5,50.5
micro_op_6_dur_sec,50.0,29.8,27.0,49.5,41.0,39.666666666666664,24.0,43.0,32.5,18.5
micro_op_7_dur_sec,150.0,74.2,106.5,47.5,58.5,52.333333333333336,64.0,80.0,28.0,26.0
micro_op_8_dur_sec,135.0,101.2,235.5,65.0,166.0,101.0,124.0,225.0,118.5,80.5
micro_op_9_dur_sec,22.0,12.0,21.0,12.5,16.333333333333332,10.333333333333334,19.0,41.0,12.0,11.0
num_furos_raia,0,0,0,0,0,0,0,0,0,0
num_montantes,3,3,4,4,4,3,3,4,3,3
num_placas_por_face,1,1,1,1,1,1,1,1,1,1
num_raias,2,2,2,2,2,2,2,2,3,2
perimetro_placa_maior_mm,6274,5738,6938,6716,6980,5780,5780,6980,6116,6351
perimetro_placa_total_mm,12548,11476,13876,13432,13960,11560,11560,13960,12232,6351
placagem_dupla,True,True,True,True,True,True,True,True,True,False
profundidade_painel_mm,70,46,46,46,46,46,46,70,70,48
tem_entalhes,False,False,False,False,False,False,False,False,True,True
